Grid_id,eGRID_subregion_name,ElectricityMarketModule_region,ISO_subregion_name,grid_loss_factor,CO2_kg_MWh-1,CH4_kg_MWh-1,N2O_kg_MWh-1,NOx_kg_MWh-1,SO2_kg_MWh-1
AKGD,ASCC Alaska Grid,Not Applicable,Not Applicable,0.051,471.571,0.037,0.005,2.481,0.499
AKMS,ASCC Miscellaneous,Not Applicable,Not Applicable,0.051,238.174,0.011,0.002,3.498,0.307
AZNM,WECC Southwest,SRSG,WECC/Southwest,0.048,463.733,0.035,0.005,0.331,0.119
CAMX,WECC California,CANO,WECC/CA North,0.048,225.225,0.015,0.002,0.21,0.021
CAMX,WECC California,CASO,WECC/CA South,0.048,225.225,0.015,0.002,0.21,0.021
ERCT,ERCOT All,TRE,Texas Reliability Entity,0.049,422.6,0.03,0.004,0.247,0.376
FRCC,FRCC All,FRCC,Florida Reliability Coordinating Council,0.049,422.677,0.03,0.004,0.161,0.126
HIMS,HICC Miscellaneous,Not Applicable,Not Applicable,0.051,503.801,0.054,0.008,3.465,1.8
HIOA,HICC Oahu,Not Applicable,Not Applicable,0.051,757.474,0.082,0.012,1.594,3.627
MROE,MRO East,MISW,Midcontinent ISO/West,0.049,761.136,0.077,0.011,0.399,0.404
MROW,MRO West,SPPN,Southwest Power Pool/North,0.049,562.386,0.063,0.009,0.443,0.613
NEWE,NPCC New England,ISNE,NPCC/New England,0.049,236.917,0.037,0.005,0.176,0.062
NWPP,WECC Northwest,NWPP,WECC/Northwest Power Pool,0.048,289.863,0.029,0.004,0.263,0.171
NWPP,WECC Northwest,BASN,WECC/Basin,0.048,289.863,0.029,0.004,0.263,0.171
NYCW,NPCC NYC/Westchester,NYCW,NPCC/NYC & Long Island,0.049,270.529,0.01,0.001,0.114,0.012
NYLI,NPCC Long Island,NYCW,NPCC/NYC & Long Island,0.049,537.163,0.063,0.008,0.39,0.106
NYUP,NPCC Upstate NY,NYUP,NPCC/Upstate NY,0.049,114.81,0.008,0.001,0.062,0.042
RFCE,RFC East,PJME,PJM/East,0.049,324.757,0.028,0.004,0.151,0.218
RFCM,RFC Michigan,MISE,Midcontinent ISO/East,0.049,595.368,0.059,0.008,0.362,0.588
RFCW,RFC West,PJMW,PJM/West,0.049,528.933,0.053,0.008,0.374,0.42
RFCW,RFC West,PJMC,PJM/Commonwealth Edison,0.049,528.933,0.053,0.008,0.374,0.42
RMPA,WECC Rockies,RMRG,WECC/Rockies,0.048,577.703,0.056,0.008,0.305,0.19
SPNO,SPP North,SPPC,Southwest Power Pool/Central,0.049,527.613,0.056,0.008,0.291,0.151
SPSO,SPP South,SPPS,Southwest Power Pool/South,0.049,529.153,0.041,0.006,0.377,0.563
SRDA,SERC Delta,MISS,Midcontinent ISO/South,0.049,387.661,0.025,0.004,0.279,0.435
SRGW,SERC Gateway,MISC,Midcontinent ISO/Central,0.049,754.847,0.084,0.012,0.481,1.129
SRSE,SERC Southeastern,SRSE,SERC Reliability Corporation/Southeast,0.049,466.261,0.037,0.005,0.225,0.135
SRCE,SERC Central,SRCE,SERC Reliability Corporation/Central,0.049,467.898,0.044,0.006,0.25,0.281
SRVC,SERC VACAR,PJMD,PJM/Dominion,0.049,337.168,0.03,0.004,0.198,0.119
SRVC,SERC VACAR,SRCA,SERC Reliability Corporation/East,0.049,337.168,0.03,0.004,0.198,0.119
