,electricity_demand,cooling_demand,heat_demand,total_electricity_demand,total_heat_demand,electricity_cooling,heat_cooling,electricity_CHP,electricity_PV,electricity_BES_in,electricity_BES_out,electricity_Grid,heat_Furnace,heat_CHP,year
0,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,150157.34600956703,73679.9609535506,73721.15702418116,0.0,183788.6010053266,0,2020
1,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,149406.55927950446,73500.61948267937,73583.54736205895,0.0,183788.6010053266,0,2021
2,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,148655.77254946274,72253.42026481066,72227.32405518701,0.0,183788.6010053266,0,2022
3,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,147904.9858194069,72687.80515477857,72682.66004169144,0.0,183788.6010053266,0,2023
4,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,147154.1990893672,71886.98969785655,71824.10807081137,0.0,183788.6010053266,0,2024
5,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,146403.41235930388,73097.92662277771,72974.35332594118,0.0,183788.6010053266,0,2025
6,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,145652.62562926387,72436.61145231007,72125.7279691101,0.0,183788.6010053266,0,2026
7,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,144901.8388992278,72352.41162517462,71681.94448514348,0.0,183788.6010053266,0,2027
8,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,144151.05216918723,72172.87654870728,71404.0109380353,0.0,183788.6010053266,0,2028
9,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,143400.2654391233,71244.74612557254,69833.46469092653,0.0,183788.6010053266,0,2029
10,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,142649.4787090816,73068.84907870027,73116.43917187187,0.0,183788.6010053266,0,2030
11,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,141898.69197903047,72233.22060335711,72319.31010116715,0.0,183788.6010053266,0,2031
12,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,141147.90524899104,71010.1879689461,71018.42353668022,0.0,183788.6010053266,0,2032
13,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,140397.1185189259,72329.5656429521,72330.19453145372,0.0,183788.6010053266,0,2033
14,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,139646.3317888846,72285.17000421463,72254.46144783912,0.0,183788.6010053266,0,2034
15,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,138895.54505884266,73605.24221153617,73477.14912614806,0.0,183788.6010053266,0,2035
16,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,138144.7583287767,71886.70424725939,71504.55967332714,0.0,183788.6010053266,0,2036
17,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,137393.97159873467,71623.71989971478,71012.2538089699,0.0,183788.6010053266,0,2037
18,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,136643.18486869137,70789.20262204461,70131.79482563413,0.0,183788.6010053266,0,2038
19,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,135892.39813865133,71510.28433270124,69966.81066298741,0.0,183788.6010053266,0,2039
20,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,135141.61140858367,72196.59224587471,72250.83938739874,0.0,183788.6010053266,0,2040
21,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,134390.82467854163,72145.30351972529,72202.74822847522,0.0,183788.6010053266,0,2041
22,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,133640.0379485061,71818.11857088917,71862.59458277315,0.0,183788.6010053266,0,2042
23,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,132889.25121846475,72035.7827973986,72070.67235879229,0.0,183788.6010053266,0,2043
24,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,132138.46448839476,71419.18170241811,71274.20843746384,0.0,183788.6010053266,0,2044
25,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,131387.67775835184,72144.78672952311,72033.55086008235,0.0,183788.6010053266,0,2045
26,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,130636.89102831634,72168.93625397667,71856.7766262751,0.0,183788.6010053266,0,2046
27,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,129886.10429827539,71605.55717095984,71109.96019287613,0.0,183788.6010053266,0,2047
28,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,129135.31756820518,70376.14361570228,69683.32863374293,0.0,183788.6010053266,0,2048
29,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,128384.53083816291,72205.0190630401,70390.99042308201,0.0,183788.6010053266,0,2049
30,300225.1848337796,81176.03759382581,183788.6010053266,324100.49000843585,183788.6010053266,23875.30517465462,0,0,127633.74410812453,71613.13569071196,71675.87975217284,0.0,183788.6010053266,0,2050
