alpha_CHP,beta_ABC,technology,percent_change_co2_int_mean,percent_change_n2o_int_mean,percent_change_ch4_int_mean,percent_change_co_int_mean,percent_change_nox_int_mean,percent_change_pm_int_mean,percent_change_so2_int_mean,percent_change_voc_int_mean,percent_change_GHG_int_100_mean,percent_change_GHG_int_20_mean,percent_change_NG_int_mean,percent_change_co2_int_std,percent_change_n2o_int_std,percent_change_ch4_int_std,percent_change_co_int_std,percent_change_nox_int_std,percent_change_pm_int_std,percent_change_so2_int_std,percent_change_voc_int_std,percent_change_GHG_int_100_std,percent_change_GHG_int_20_std,percent_change_NG_int_std
0.0,1.0,None,56.04350057341726,-7.027040105224522,24.332823288872714,75.05752696588345,79.98625469787636,-3.7672914532856265,-1.4472010183421233,70.91665778309469,43.7992834328576,35.498616607515046,23.19104991204039,51.43680539646479,5.909641675487207,21.29727562030532,71.03431449404773,76.31978049170193,3.1798922332222963,1.2248505726252408,66.6606710036691,39.444323993476765,31.5741694744347,20.265474898257313
1.0,0.0,Fuel Cell,-33.5329575775409,-102.42202428889578,9.537100240387757,-132.6291853470927,-136.3761960935712,-103.3183153607004,-103.98402568578875,-111.10062837156588,-17.90370245291646,-6.208487710678916,7.035435770745422,39.05039153176668,7.068574598121715,17.65041029741889,59.25551130514586,63.82687746632345,9.265218220000047,10.807070293526506,56.6504410706634,18.35801579322049,6.132050845618525,17.201575457110746
1.0,0.0,Gas Turbine,102.60683701468821,-106.48514003491269,50.8237891093475,-140.1434271920595,-98.2827197864421,-108.6980341085908,-110.29865867442199,166.76609900308202,82.60839930518063,69.32872583061815,47.43271348046898,26.83860752051454,7.199128630796492,25.14527363877243,54.37104818810127,43.9932028088861,9.471673972624481,11.076754750497878,68.02600077908035,24.87859877761295,24.579348262339348,24.341287818498827
1.0,0.0,Microturbine,175.9698572882374,-108.8739994931656,54.50889734360427,-170.69467063852935,-106.99712994303742,-111.85780363209223,-114.00495845666096,111.64520949918442,129.98793893218632,98.28764596651736,51.121615349466836,166.46488932474293,7.524462588849204,22.076126245539236,69.35966609191443,59.027050474643694,9.928792845162873,11.634803064247132,157.35724561237953,108.06940894606359,68.21859300122004,21.293440016397696
1.0,0.0,Reciprocating Engine,58.81754604987411,-104.85826847686428,23.330702067000807,-70.47924549587867,-12.239058017266345,-106.54423931906828,-107.77080061180378,668.6482566420397,45.11027116377089,36.062838619516036,20.57148862777975,11.038964080624813,7.494574279013155,20.804396931497788,34.49495787128688,62.74990708570666,9.852363036196875,11.514648852110307,207.94565276873166,11.386237264658778,14.601590657650886,20.244819987943917
1.0,1.0,Fuel Cell,12.813674607673184,-93.83064917693858,21.38463393655367,-53.2630003398382,-52.46152777029394,-91.92168913456602,-90.58943962857744,-38.94576454188969,15.349446198965671,17.92542725909242,18.467586800406018,59.65925937347946,9.619673636435111,20.342806824581963,84.51554545426299,89.93260572436546,12.676185053744831,14.836105837893982,78.0315524629315,40.66826581574088,29.02423343805578,19.605901979935226
1.0,1.0,Gas Turbine,116.42330718207275,-98.20299883869343,50.302984829605414,-69.16463029622159,-31.749787665452573,-97.71307366881567,-97.38912067931932,178.38948902026968,91.06806545518423,73.96856262662747,46.79210074306463,36.60618699579664,9.754117391541007,21.088752242533005,77.55071804275582,72.95457415604703,12.857467304734543,15.050577317030688,65.42032985737201,28.803612304836935,24.678334395494275,20.27594191789443
1.0,1.0,Microturbine,172.34145998357826,-100.72049856152103,50.83809980363438,-99.20672240082132,-44.26487865175195,-101.0443178484178,-101.29762220270197,128.52545049041797,126.4396422848392,94.69307909430209,47.39682320400845,134.71030515551942,10.032057804419855,18.48893437905337,86.27978731429725,79.77960240935931,13.234196148605436,15.499580105421499,137.09956713627548,87.29688207683701,54.92247934192516,17.69683630053045
1.0,1.0,Reciprocating Engine,83.7599716181932,-96.44410528586273,29.694677236544045,-8.39276157890235,42.54436229828568,-95.38347798595368,-94.65408550028319,591.5710962030129,63.02897050737825,49.059003823581904,26.64645330502513,38.47659960980395,9.969894432320185,20.140404032459053,67.91199281911854,85.47305627068711,13.14277671379684,15.385301987079702,167.6378962882042,28.952537424794393,23.805384723111843,19.411678654926405
