technology,alpha_CHP,beta_ABC,energy_demand_int,percent_change_co2_int,percent_change_n2o_int,percent_change_ch4_int,percent_change_co_int,percent_change_nox_int,percent_change_pm_int,percent_change_so2_int,percent_change_voc_int,percent_change_GHG_int_100,percent_change_GHG_int_20,percent_change_NG_int,percent_change_TFCE,CHP_efficiency
Fuel Cell,1.0,0.0,348.1063029695682,-59.13500839786984,-102.48803071077938,9.536490577831653,-133.12179550446584,-173.2624905442581,-114.47945269069102,-102.06923532869833,-111.44346129178476,-41.96492983163602,-24.67489691069565,7.035435770745422,32.956006401919254,0.8100000000000069
Fuel Cell,1.0,1.0,348.1063029695682,-32.0940107082917,-93.68493833087898,21.384643962671213,-52.84578990366302,-25.8412486566624,-74.59685687252787,-94.62498158436584,-38.74402626318339,-18.846416045169242,-5.3407844946117375,18.467586800406018,41.19478053709278,0.8100000000000069
Gas Turbine,1.0,0.0,348.1063029695678,20.605423573391523,-106.65067671841847,50.822746954478106,-141.17221942279843,-208.99778489211394,-132.9921213639995,-105.59260314113395,165.29219611957362,27.698555084587976,35.4668324653276,47.43271348046898,12.602767337397035,0.6948333333333311
Gas Turbine,1.0,1.0,348.1063029695678,29.03669198635805,-98.16452423404235,50.302570467661674,-69.29883741038203,-73.16480661667319,-94.5984329733993,-98.4159017155564,177.58021237271225,33.867289841035806,39.38932108562816,46.79210074306463,21.675637896595706,0.6948333333333311
Microturbine,1.0,0.0,348.1063029695678,63.509425628169566,-109.09786634832703,54.50766775186705,-171.90230327096694,-241.04353480321208,-143.77042336932573,-107.66498940337978,110.13860680108222,60.4989906113142,58.49628284761576,51.121615349466836,18.44041718122504,0.7383333333333395
Microturbine,1.0,1.0,348.1063029695678,61.95570740439413,-100.74357378908297,50.83749636953242,-99.54220413429884,-108.57748367247366,-105.99902831357889,-100.59952223989656,127.65869997121673,58.45468582248538,55.90569660113998,47.39682320400845,25.85469246690717,0.7383333333333395
None,0.0,1.0,348.10630296956356,25.484768713749077,-6.7809264622084875,24.33346920317554,76.10381503854074,152.98459898006067,29.219872821332704,-8.360808040457314,71.53279735119186,25.0489662785349,24.809063495924786,23.191049912040256,21.014268072291603,1.0
Reciprocating Engine,1.0,0.0,348.1063029695682,-5.022456934129986,-104.98396633722477,23.329868223589948,-71.61885903906254,-156.10816912871087,-125.5945374267746,-104.18178965251114,665.8670186084169,1.7180457984694508,8.977937881455183,20.57148862777975,29.59323220370447,0.7991999999999975
Reciprocating Engine,1.0,1.0,348.1063029695682,9.772614574661974,-96.36249913570606,29.69446334060354,-8.579321198905575,-23.011071100261734,-86.56397346603764,-96.89087427015234,589.68552123022,14.35408518836199,19.507908330909583,26.64645330502513,37.26687556464561,0.7991999999999975
